Date,Price,Open,High,Low,Vol,CB_n330_Low,CB_n330_High,Normali,CB_n330_Avg,BCO_Close,EMA_3
01-02-2012,2.616,2.465,2.733,2.34,3230000,1402,1550,100,1476,122.66,
01-03-2012,2.126,2.593,2.597,2.101,2470000,1480,1636,105.5555556,1558,122.88,
01-04-2012,2.285,2.122,2.32,1.902,2440000,1543,1705,110.0271003,1624,119.47,1570.5
01-05-2012,2.422,2.311,2.759,2.236,3180000,1568,1734,111.8563686,1651,101.43,1610.75
01-06-2012,2.824,2.408,2.946,2.168,3100000,1538,1700,109.6883469,1619,97.88,1614.875
01-07-2012,3.209,2.804,3.277,2.718,2720000,1437,1589,102.5067751,1513,103.84,1563.938
01-08-2012,2.799,3.217,3.241,2.575,3310000,1320,1458,94.10569106,1389,114.05,1476.469
01-09-2012,3.32,2.806,3.33,2.647,2810000,1366,1510,97.42547425,1438,111.58,1457.234
01-10-2012,3.692,3.325,3.82,3.325,3550000,1446,1598,103.1165312,1522,107.56,1489.617
01-11-2012,3.561,3.692,3.933,3.47,2300000,1460,1614,104.1327913,1537,110.25,1513.309
01-12-2012,3.351,3.553,3.748,3.261,2500000,1413,1561,100.7452575,1487,109.89,1500.154
01-01-2013,3.339,3.348,3.645,3.05,2630000,1366,1514,97.56097561,1440,114.54,1470.077
01-02-2013,3.486,3.328,3.554,3.125,2610000,1372,1524,98.10298103,1448,110.42,1459.039
01-03-2013,4.024,3.491,4.121,3.408,2750000,1406,1554,100.2710027,1480,110.02,1469.519
01-04-2013,4.343,3.969,4.429,3.861,3450000,1429,1579,101.897019,1504,102.37,1486.76
01-05-2013,3.984,4.34,4.444,3.883,2590000,1397,1544,99.66124661,1471,100.39,1478.88
01-06-2013,3.565,3.963,4.04,3.526,2450000,1357,1500,96.74796748,1428,102.16,1453.44
01-07-2013,3.446,3.547,3.835,3.413,2160000,1352,1494,96.40921409,1423,107.7,1438.22
01-08-2013,3.581,3.452,3.655,3.129,2620000,1337,1480,95.46070461,1409,114.01,1423.61
01-09-2013,3.56,3.601,3.82,3.402,2049999,1350,1495,96.40921409,1423,108.37,1423.305
01-10-2013,3.581,3.557,3.869,3.48,2750000,1369,1514,97.69647696,1442,108.84,1432.652
01-11-2013,3.954,3.574,3.962,3.379,2080000,1384,1532,98.7804878,1458,109.69,1445.326
01-12-2013,4.23,3.911,4.532,3.897,2990000,1357,1507,97.01897019,1432,110.8,1438.663
01-01-2014,4.943,4.232,5.725,3.953,3360000,1356,1506,96.95121951,1431,106.4,1434.832
01-02-2014,4.609,4.85,6.493,4.441,3180000,1393,1545,99.52574526,1469,109.07,1451.916
01-03-2014,4.371,4.69,4.736,4.262,1940000,1361,1511,97.2899729,1436,107.76,1443.958
01-04-2014,4.815,4.367,4.852,4.221,2040000,1395,1544,99.59349593,1470,108.07,1456.979
01-05-2014,4.542,4.797,4.827,4.289,1890000,1374,1518,97.96747967,1446,108.68,1451.489
01-06-2014,4.461,4.551,4.886,4.35,2089999,1390,1535,99.11924119,1463,112.07,1457.245
01-07-2014,3.841,4.447,4.488,3.723,1830000,1400,1545,99.79674797,1473,106.53,1465.122
01-08-2014,4.065,3.829,4.101,3.727,1970000,1415,1560,100.8130081,1488,103.77,1476.561
01-09-2014,4.121,4.048,4.178,3.761,2200000,1360,1505,97.08672087,1433,95.32,1454.781
01-10-2014,3.873,4.13,4.184,3.541,2380000,1343,1488,95.93495935,1416,86.34,1435.39
01-11-2014,4.088,4.007,4.544,3.931,3010000,1326,1469,94.71544715,1398,70.58,1416.695
01-12-2014,2.889,3.975,4.041,2.882,2620000,1198,1324,85.43360434,1261,58.21,1338.848
01-01-2015,2.691,2.845,3.352,2.637,2640000,1180,1310,84.3495935,1245,53.95,1291.924
01-02-2015,2.734,2.664,3.039,2.567,2490000,1017,1125,72.56097561,1071,63.15,1181.462
01-03-2015,2.64,2.691,2.935,2.578,2360000,902,995,64.29539295,949,56.21,1065.231
01-04-2015,2.751,2.637,2.77,2.443,2440000,1000,1103,71.27371274,1052,67.45,1058.615
01-05-2015,2.642,2.737,3.105,2.633,2430000,970,1075,69.30894309,1023,66.14,1040.808
01-06-2015,2.832,2.615,2.955,2.556,3000000,997,1100,71.0704607,1049,64.14,1044.904
01-07-2015,2.716,2.816,2.951,2.644,2610000,1042,1146,74.11924119,1094,52.85,1069.452
01-08-2015,2.689,2.725,2.934,2.624,2540000,1035,1139,73.64498645,1087,54.99,1078.226
01-09-2015,2.524,2.686,2.794,2.511,2260000,959,1058,68.3604336,1009,49.05,1043.613
01-10-2015,2.321,2.522,2.578,1.948,2940000,865,955,61.65311653,910,50.31,976.8065
01-11-2015,2.235,2.268,2.46,2.051,2500000,855,945,60.97560976,900,45.24,938.4032
01-12-2015,2.337,2.23,2.387,1.684,3010000,852,942,60.77235772,897,37.67,917.7016
01-01-2016,2.298,2.366,2.495,2.044,2480000,828,915,59.07859079,872,35.99,894.8508
01-02-2016,1.711,2.213,2.228,1.682,2580000,736,814,52.50677507,775,36.57,834.9254
01-03-2016,1.959,1.707,2.028,1.611,2810000,700,772,49.86449864,736,40.33,785.4627
01-04-2016,2.178,1.963,2.195,1.872,3040000,736,814,52.50677507,775,47.37,780.2314
01-05-2016,2.288,2.132,2.303,1.909,2640000,768,848,54.74254743,808,49.89,794.1157
01-06-2016,2.924,2.287,2.974,2.277,3120000,794,878,56.6395664,836,49.71,815.0578
01-07-2016,2.876,2.931,2.998,2.625,2360000,855,945,60.97560976,900,43.53,857.5289
01-08-2016,2.887,2.84,2.943,2.523,2960000,898,992,64.02439024,945,46.89,901.2645
01-09-2016,2.906,2.879,3.098,2.665,2690000,888,982,63.34688347,935,50.19,918.1322
01-10-2016,3.026,2.905,3.366,2.627,3330000,893,987,63.68563686,940,48.61,929.0661
01-11-2016,3.352,2.979,3.367,2.546,2990000,917,1013,65.37940379,965,51.84,947.0331
01-12-2016,3.724,3.348,3.994,3.242,3290000,957,1057,68.22493225,1007,57.49,977.0165
01-01-2017,3.117,3.568,3.568,3.098,2840000,929,1029,66.32791328,979,55.58,978.0083
01-02-2017,2.774,3.134,3.228,2.522,2630000,1020,1120,72.49322493,1070,56.51,1024.004
01-03-2017,3.19,2.77,3.242,2.73,3120000,1028,1128,73.03523035,1078,53.53,1051.002
01-04-2017,3.276,3.217,3.347,3.022,2650000,1024,1124,72.76422764,1074,52.05,1062.501
01-05-2017,3.071,3.249,3.431,3.061,3170000,987,1086,70.25745257,1037,50.76,1049.751
01-06-2017,3.035,3.08,3.128,2.855,3160000,1000,1108,71.40921409,1054,48.77,1051.875
01-07-2017,2.794,2.949,3.114,2.781,2740000,993,1101,70.93495935,1047,52.72,1049.438
01-08-2017,3.04,2.81,3.045,2.753,2940000,963,1072,68.9701897,1018,52.86,1033.719
01-09-2017,3.007,3.027,3.166,2.885,3170000,996,1104,71.13821138,1050,56.79,1041.859
01-10-2017,2.896,3.018,3.036,2.723,3890000,1007,1115,71.88346883,1061,60.94,1051.43
01-11-2017,3.025,2.906,3.231,2.797,3820000,1041,1148,74.18699187,1095,62.63,1073.215
01-12-2017,2.953,3.032,3.127,2.568,4230000,1045,1152,74.45799458,1099,66.44,1086.107
01-01-2018,2.995,3.03,3.661,2.746,5350000,1224,1352,87.26287263,1288,68.89,1187.054
01-02-2018,2.667,2.956,2.978,2.53,3100000,1207,1335,86.11111111,1271,64.73,1229.027
01-03-2018,2.733,2.668,2.811,2.565,2550000,1241,1371,88.48238482,1306,69.34,1267.513
01-04-2018,2.763,2.73,2.839,2.621,2910000,1204,1332,85.90785908,1268,74.69,1267.757
01-05-2018,2.952,2.764,2.988,2.695,2870000,1207,1335,86.11111111,1271,77.56,1269.378
01-06-2018,2.924,2.951,3.053,2.873,2680000,1240,1370,88.41463415,1305,79.23,1287.189
01-07-2018,2.782,2.92,2.927,2.704,2260000,1317,1455,93.90243902,1386,74.21,1336.595
01-08-2018,2.916,2.78,2.993,2.74,2690000,1316,1454,93.83468835,1385,77.64,1360.797
01-09-2018,3.008,2.9,3.111,2.752,2800000,1338,1479,95.46070461,1409,82.73,1384.899
01-10-2018,3.261,3.007,3.368,3.001,3990000,1307,1445,93.22493225,1376,75.04,1380.449
01-11-2018,4.612,3.284,4.929,3.166,4450000,1335,1468,94.98644986,1402,59.46,1391.225
01-12-2018,2.94,4.527,4.666,2.93,2760000,1380,1525,98.44173442,1453,54.02,1422.112
01-01-2019,2.814,2.921,3.722,2.789,2700000,1279,1413,91.19241192,1346,60.84,1384.056
01-02-2019,2.812,2.832,2.908,2.543,2240000,1194,1320,85.16260163,1257,66.31,1320.528
01-03-2019,2.662,2.805,2.897,2.656,1950000,1207,1333,86.04336043,1270,67.58,1295.264
01-04-2019,2.575,2.663,2.733,2.439,2300000,1272,1406,90.71815718,1339,72.06,1317.132
01-05-2019,2.454,2.572,2.7,2.444,2500000,1279,1413,91.19241192,1346,61.99,1331.566
01-06-2019,2.308,2.444,2.475,2.159,2650000,1295,1429,92.27642276,1362,64.74,1346.783
01-07-2019,2.233,2.33,2.489,2.107,3080000,1252,1384,89.29539295,1318,65.05,1332.392
01-08-2019,2.285,2.238,2.333,2.029,3250000,1191,1317,84.95934959,1254,59.25,1293.196
01-09-2019,2.33,2.288,2.71,2.269,3440000,1221,1349,87.0596206,1285,59.25,1289.098
01-10-2019,2.633,2.325,2.738,2.187,4110000,1090,1204,77.7100271,1147,59.62,1218.049
01-11-2019,2.281,2.637,2.905,2.27,3660000,1145,1265,81.6395664,1205,60.49,1211.524
01-12-2019,2.189,2.315,2.51,2.138,3770000,1071,1183,76.35501355,1127,65.29,1169.262
01-01-2020,1.841,2.184,2.255,1.812,3850000,1013,1119,72.22222222,1066,56.62,1117.631
01-02-2020,1.684,1.852,2.025,1.642,4040000,1045,1155,74.52574526,1100,49.67,1108.816
01-03-2020,1.64,1.695,1.998,1.519,3840000,1059,1169,75.47425474,1114,26.35,1111.408
01-04-2020,1.949,1.643,1.974,1.521,3570000,1068,1178,76.08401084,1123,26.48,1117.204
01-05-2020,1.949,1.643,1.974,1.521,3570000,1068,1178,76.08401084,1123,26.48,1117.204
01-06-2020,1.64,1.695,1.998,1.519,3840000,1059,1169,75.47425474,1114,26.35,1111.408
01-07-2020,1.684,1.852,2.025,1.642,4040000,1045,1155,74.52574526,1100,49.67,1108.816
01-08-2020,1.841,2.184,2.255,1.812,3850000,1013,1119,72.22222222,1066,56.62,1117.631
01-09-2020,2.189,2.315,2.51,2.138,3770000,1071,1183,76.35501355,1127,65.29,1169.262
01-10-2020,2.281,2.637,2.905,2.27,3660000,1145,1265,81.6395664,1205,60.49,1211.524
01-11-2020,2.633,2.325,2.738,2.187,4110000,1090,1204,77.7100271,1147,59.62,1218.049
01-12-2020,2.539,2.934,2.972,2.238,2970000,1022,1126,72.76422764,1074,51.82,1060.817
01-01-2021,2.564,2.626,2.899,2.414,2450000,1040,1150,74.18699187,1095,55.04,1077.909
01-02-2021,2.771,2.73,3.316,2.697,3300000,1075,1189,76.69376694,1132,64.42,1104.954
01-03-2021,2.608,2.8,2.887,2.422,2140000,1119,1237,79.8102981,1178,62.74,1141.477
01-04-2021,2.931,2.605,2.971,2.453,2140000,1171,1295,83.53658537,1233,66.76,1187.239
01-05-2021,2.986,2.938,3.15,2.832,1810000,1189,1311,84.68834688,1250,68.95,1218.619
01-06-2021,3.65,3.036,3.814,3.01,2730000,1196,1318,85.16260163,1257,74.62,1237.81
01-07-2021,3.914,3.746,4.187,3.52,2290000,1213,1341,86.51761518,1277,75.41,1257.405
01-08-2021,4.377,3.973,4.526,3.734,2600000,1256,1388,89.56639566,1322,71.63,1289.702
01-09-2021,5.867,4.403,6.28,4.378,3510000,1267,1399,90.31165312,1333,78.31,1311.351
01-10-2021,5.426,5.975,6.466,4.825,3310000,1262,1392,89.90514905,1327,83.72,1319.176
01-11-2021,4.567,5.31,5.876,4.482,2700000,1324,1464,94.44444444,1394,69.23,1356.588
01-12-2021,3.73,4.606,4.664,3.536,2540000,1407,1555,100.3387534,1481,77.35,1418.794
01-01-2022,4.874,3.702,7.4,3.638,2370000,1391,1537,99.18699187,1464,89.26,1441.397
01-02-2022,4.402,4.921,5.572,3.876,2550000,1336,1476,95.25745257,1406,97.97,1423.698
01-03-2022,5.642,4.408,5.832,4.34,2170000,1454,1608,103.7262873,1531,104.71,1477.349
01-04-2022,7.244,5.627,8.065,5.505,3000000,1512,1672,107.8590786,1592,107.14,1534.675
01-05-2022,8.145,7.412,9.401,6.43,2220000,1661,1835,118.4281843,1748,115.6,1641.337
01-06-2022,5.424,8.271,9.664,5.357,2630000,1656,1830,118.0894309,1743,109.03,1692.169
01-07-2022,8.229,5.701,9.752,5.325,1810000,1724,1906,122.9674797,1815,103.97,1753.584
01-08-2022,9.127,7.91,10.028,7.532,2029999,1717,1899,122.4932249,1808,95.64,1780.792
01-09-2022,6.766,9.133,9.394,6.456,1970000,1600,1768,114.0921409,1684,85.14,1732.396
01-10-2022,6.355,6.8,7.188,4.75,2009999,1601,1770,114.2276423,1686,92.81,1709.198
01-11-2022,8.145,7.412,9.401,6.43,2220000,1661,1835,118.4281843,1748,115.6,1641.337
01-12-2022,5.424,8.271,9.664,5.357,2630000,1656,1830,118.0894309,1743,109.03,1692.169
01-01-2023,2.684,4.393,4.394,2.612,2120000,1750,1934,124.796748,1842,85.46,1665.525
01-02-2023,2.747,2.73,2.788,1.967,3020000,1662,1836,118.495935,1749,83.45,1707.262
01-03-2023,2.216,2.769,3.027,1.944,2810000,1590,1758,113.4146341,1674,79.89,1690.631
01-04-2023,2.41,2.085,2.529,1.946,2900000,1598,1766,113.9566396,1682,80.33,1686.316
01-05-2023,2.266,2.398,2.685,2.031,2620000,1633,1805,116.4634146,1719,72.6,1702.658
01-06-2023,2.798,2.255,2.839,2.136,2920000,1717,1897,122.4254743,1807,75.41,1754.829
01-07-2023,2.634,2.729,2.793,2.463,2080000,1657,1831,118.1571816,1744,85.43,1749.414
01-08-2023,2.768,2.644,3.018,2.425,3090000,1712,1892,122.0867209,1802,86.83,1775.707